file,class,method,variable,usage
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/stack/DailyTemperatures.java,DailyTemperatures,dailyTemperatures/1[int[]],result,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/stack/DailyTemperatures.java,DailyTemperatures,dailyTemperatures/1[int[]],stack,4
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/stack/DailyTemperatures.java,DailyTemperatures,dailyTemperatures/1[int[]],temperatures,4
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/stack/DailyTemperatures.java,DailyTemperatures,dailyTemperatures/1[int[]],i,5
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/leetcode/stack/DailyTemperatures.java,DailyTemperatures,dailyTemperatures/1[int[]],index,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"union/2[int,int]",person,4
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"union/2[int,int]",friend,4
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"join/2[int,int]",person,5
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"join/2[int,int]",friend,5
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"startUnion/3[int,int[],int[]]",relationships,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"startUnion/3[int,int[],int[]]",i,5
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"startUnion/3[int,int[],int[]]",people,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,"startUnion/3[int,int[],int[]]",numberOfPeople,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],testCases,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],line,1
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],i,2
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],j,7
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],args,0
/home/jota/classroom/lab-02-qualidade-java/repos/interviews/uva/Friends.java,Friends,main/1[java.lang.String[]],br,3
